,symbol,value,date
0,TAO,0,2021-05-02 13:04:22
1,TAO,346,2021-05-02 19:14:08
2,TAO,316,2021-05-03 01:15:37
3,TAO,303,2021-05-03 07:17:40
4,TAO,285,2021-05-03 13:26:34
5,TAO,308,2021-05-03 19:32:57
6,TAO,297,2021-05-04 01:36:45
7,TAO,299,2021-05-04 07:37:34
8,TAO,343,2021-05-04 13:39:24
9,TAO,343,2021-05-04 19:41:33
10,TAO,340,2021-05-05 01:48:12
11,TAO,350,2021-05-05 07:49:38
12,TAO,344,2021-05-05 13:50:24
13,TAO,360,2021-05-05 20:13:45
14,TAO,366,2021-05-06 02:20:52
15,TAO,358,2021-05-06 08:21:49
16,TAO,361,2021-05-06 14:50:44
17,TAO,358,2021-05-06 20:58:35
18,TAO,350,2021-05-07 03:01:16
19,TAO,350,2021-05-07 09:04:35
20,TAO,385,2021-05-07 15:14:46
21,TAO,357,2021-05-07 21:23:46
22,TAO,375,2021-05-08 03:30:32
23,TAO,372,2021-05-08 09:36:22
24,TAO,402,2021-05-08 15:49:24
25,TAO,374,2021-05-08 22:14:44
26,TAO,365,2021-05-09 04:33:45
27,TAO,361,2021-05-09 10:45:35
28,TAO,369,2021-05-09 17:09:30
29,TAO,376,2021-05-09 23:24:53
30,TAO,391,2021-05-10 05:30:31
31,TAO,397,2021-05-10 12:04:54
32,TAO,398,2021-05-10 19:27:16
33,TAO,386,2021-05-11 02:37:13
34,TAO,396,2021-05-11 10:07:15
35,TAO,393,2021-05-11 16:31:17
36,TAO,386,2021-05-11 23:04:19
37,TAO,383,2021-05-12 05:49:30
38,TAO,384,2021-05-12 12:31:00
39,TAO,383,2021-05-12 19:04:17
40,TAO,377,2021-05-13 01:12:47
41,TAO,375,2021-05-13 07:21:13
42,TAO,382,2021-05-13 13:29:21
43,TAO,391,2021-05-13 19:34:21
44,TAO,387,2021-05-14 01:36:53
45,TAO,396,2021-05-14 07:40:44
46,sTAO,1,2021-05-02 13:04:22
47,sTAO,642,2021-05-02 19:14:08
48,sTAO,780,2021-05-03 01:15:37
49,sTAO,802,2021-05-03 07:17:40
50,sTAO,844,2021-05-03 13:26:34
51,sTAO,912,2021-05-03 19:32:57
52,sTAO,927,2021-05-04 01:36:45
53,sTAO,932,2021-05-04 07:37:34
54,sTAO,944,2021-05-04 13:39:24
55,sTAO,947,2021-05-04 19:41:33
56,sTAO,950,2021-05-05 01:48:12
57,sTAO,949,2021-05-05 07:49:38
58,sTAO,949,2021-05-05 13:50:24
59,sTAO,960,2021-05-05 20:13:45
60,sTAO,986,2021-05-06 02:20:52
61,sTAO,1001,2021-05-06 08:21:49
62,sTAO,998,2021-05-06 14:50:44
63,sTAO,1000,2021-05-06 20:58:35
64,sTAO,997,2021-05-07 03:01:16
65,sTAO,996,2021-05-07 09:04:35
66,sTAO,980,2021-05-07 15:14:46
67,sTAO,997,2021-05-07 21:23:46
68,sTAO,984,2021-05-08 03:30:32
69,sTAO,976,2021-05-08 09:36:22
70,sTAO,951,2021-05-08 15:49:24
71,sTAO,953,2021-05-08 22:14:44
72,sTAO,957,2021-05-09 04:33:45
73,sTAO,981,2021-05-09 10:45:35
74,sTAO,985,2021-05-09 17:09:30
75,sTAO,1005,2021-05-09 23:24:53
76,sTAO,1019,2021-05-10 05:30:31
77,sTAO,1023,2021-05-10 12:04:54
78,sTAO,1028,2021-05-10 19:27:16
79,sTAO,1039,2021-05-11 02:37:13
80,sTAO,1050,2021-05-11 10:07:15
81,sTAO,1054,2021-05-11 16:31:17
82,sTAO,1064,2021-05-11 23:04:19
83,sTAO,1065,2021-05-12 05:49:30
84,sTAO,1059,2021-05-12 12:31:00
85,sTAO,1064,2021-05-12 19:04:17
86,sTAO,1057,2021-05-13 01:12:47
87,sTAO,1057,2021-05-13 07:21:13
88,sTAO,1054,2021-05-13 13:29:21
89,sTAO,1073,2021-05-13 19:34:21
90,sTAO,1091,2021-05-14 01:36:53
91,sTAO,1097,2021-05-14 07:40:44
